Player,Pos,Neg,PPerc,NPerc
jusuf nurkic,2,1,0.67,0.33
nassir little,2,1,0.67,0.33
robert covington,0,1,0.0,1.0
larry nance jr,9,1,0.9,0.1
damian lillard,13,7,0.65,0.35
norman powell,1,1,0.5,0.5
tony snell,0,1,0.0,1.0
greg brown iii,0,1,0.0,1.0
ben mclemore,10,2,0.83,0.17
quinn cook,0,2,0.0,1.0
harrison barnes,26,10,0.72,0.28
de'aaron fox,29,9,0.76,0.24
buddy hield,15,6,0.71,0.29
richaun holmes,12,5,0.71,0.29
davion mitchell,29,8,0.78,0.22
tyrese haliburton,0,3,0.0,1.0
tristan thompson,0,2,0.0,1.0
alex len,0,3,0.0,1.0
chimezie metu,1,1,0.5,0.5
damian jones,0,1,0.0,1.0
marvin bagley iii,6,5,0.55,0.45
louis king,60,31,0.66,0.34
dejounte murray,21,3,0.88,0.12
keldon johnson,6,3,0.67,0.33
devin vassell,7,1,0.88,0.12
lonnie walker,1,1,0.5,0.5
drew eubanks,1,1,0.5,0.5
bryn forbes,0,3,0.0,1.0
tre jones,0,2,0.0,1.0
doug mcdermott,3,1,0.75,0.25
thaddeus young,0,13,0.0,1.0
jakob poeltl,9,4,0.69,0.31
jock landale,0,2,0.0,1.0
joshua primo,1,1,0.5,0.5
og anunoby,50,19,0.72,0.28
gary trent jr,6,3,0.67,0.33
svi mykhailiuk,14,1,0.93,0.07
dalano banton,13,1,0.93,0.07
fred vanvleet,33,10,0.77,0.23
chris boucher,7,1,0.88,0.12
scottie barnes,92,30,0.75,0.25
precious achiuwa,11,1,0.92,0.08
khem birch,0,7,0.0,1.0
malachi flynn,0,1,0.0,1.0
goran dragic,9,1,0.9,0.1
pascal siakam,15,2,0.88,0.12
david johnson,0,1,0.0,1.0
yuta watanabe,0,1,0.0,1.0
bojan bogdanovic,3,1,0.75,0.25
jordan clarkson,10,2,0.83,0.17
rudy gobert,16,9,0.64,0.36
joe ingles,2,2,0.5,0.5
hassan whiteside,6,2,0.75,0.25
eric paschall,0,1,0.0,1.0
donovan mitchell,9,4,0.69,0.31
mike conley,4,1,0.8,0.2
jared butler,0,1,0.0,1.0
miye oni,1,1,0.5,0.5
montrezl harrell,7,2,0.78,0.22
kyle kuzma,36,7,0.84,0.16
aaron holiday,0,1,0.0,1.0
deni avdija,29,3,0.91,0.09
spencer dinwiddie,16,4,0.8,0.2
raul neto,0,2,0.0,1.0
corey kispert,0,3,0.0,1.0
daniel gafford,2,2,0.5,0.5
bradley beal,16,7,0.7,0.3
davis bertans,3,1,0.75,0.25
rui hachimura,5,1,0.83,0.17
thomas bryant,0,1,0.0,1.0
